"","primer_nommbre","id","ID","id_publico","habilitado","borrado","cod_oficiona","estado_cotizacion","fecha_creacion_cotizacion"
"1","JHANDERITD",27645,31339,"b2cb748acb5828f6585d72ba12b41c4a8eac5028b2383ba293c2add1395daade",TRUE,FALSE,"391","FILTRADA","2020-02-18T21:23:14.808-0500"
"2","GELBERT",27644,31338,"04d46055d7674bee1bc9b85a8ef2d2ad3f1002f8dda2de49ccb7cfa0e5623d27",TRUE,FALSE,"399","FILTRADA","2020-02-18T19:04:27.645-0500"
"3","ROSA",27643,31337,"99c8e337f4d22dc316ace712694cf2d4036b6db08eb0128b903cb00b242b7625",TRUE,FALSE,"399","INICIADA","2020-02-18T19:00:29.902-0500"
"4","ANTONY",27642,31336,"b3cc3c34465696d10ecf04ad2378a2a90eef2f82221ff94b5816ecda3727232a",TRUE,FALSE,"399","FILTRADA","2020-02-18T19:00:25.871-0500"
"5","ROSA",27641,31335,"f3531628a01e5d45bcb313cf0475702a5fa2f2f0adf252ca2ddda95fea841d8c",TRUE,FALSE,"399","INICIADA","2020-02-18T18:59:11.102-0500"
"6","Brhayam  ",27640,31334,"608c821dab6b547074342b3c9f6afd2efc3dce7cd6f83db35b76ad91635fe2c6",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T18:58:34.315-0500"
"7","PERCY",27639,31333,"541c33e93ddf59ae7370c67d7a8e480eda6e607b9a813bb0b75a71d31041b4e9",TRUE,FALSE,"388","FILTRADA","2020-02-18T18:49:52.877-0500"
"8","ROGER",27638,31332,"d2a18cd26f1576cf18357ac1fb1009d9c634364ac2f29d02d64515061fe7bf28",TRUE,FALSE,"388","FILTRADA","2020-02-18T18:47:44.440-0500"
"9","JHAN",27637,31331,"bf8f2358072d38a6f1a15d17062e70a3fbbd618011552dad0eed63bc4631cf13",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T18:47:10.601-0500"
"10","HEIDY",27636,31330,"f5128d0170e170814ac05702b7083c0ac249b50a1de1e581ccc6307ce19eae36",TRUE,FALSE,"578","FILTRADA","2020-02-18T18:40:31.909-0500"
"11","BRAYAN",27635,31329,"3a553058ccd445167e665232c7f04dc35a9b5f9c65568ebef076d80c6d4b59c5",TRUE,FALSE,"399","FILTRADA","2020-02-18T18:40:06.363-0500"
"12","HEIDY",27634,31328,"1b3243df5cfc74888670289e49a40760410a39cd8d91d7226907c551b2cc3a6d",TRUE,FALSE,"578","FILTRADA","2020-02-18T18:38:58.008-0500"
"13","JESUS",27633,31327,"1aeb4ebcbea6a8f1f8012a5700bee6fb5764faec20e5218d198a0c6c9d887581",TRUE,FALSE,"388","FILTRADA","2020-02-18T18:31:26.030-0500"
"14","ANDRES",27632,31326,"2d210f7d3d84bf053f8fe0da2c0006d23fcf94bdc5366ae369f1dac327f202cc",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T18:20:38.158-0500"
"15","JAVIER",27631,31325,"5c0ca930f0a650923b5e09f63881d0aa7051d1937a88ef52570aeb576a0595fc",TRUE,FALSE,"559","FILTRADA","2020-02-18T18:03:00.077-0500"
"16","JOSUE",27630,31324,"7a90abaec1a6d39f0e5e7227211960043edce652cd0b5b2bd2973798bbe4bbeb",TRUE,FALSE,"399","FILTRADA","2020-02-18T17:59:13.841-0500"
"17","NAIDA",27629,31323,"097b51d571a9398e6afb305e11e7037661c6ff1bab148ace2b4f062a47f7bd7e",TRUE,FALSE,"578","DESESTIMADA","2020-02-18T17:58:42.191-0500"
"18","CORINA",27628,31322,"9e5261e8b3dccdeb4cd5419ae167801cfe332d42c51d9dbee4a49ec54b14119c",TRUE,FALSE,"330","FILTRADA","2020-02-18T17:52:26.129-0500"
"19","VICENTE",27627,31321,"26d5b24172dd94d1d65db6e5754e6d541d48e3d548446825d7c46fde07341e4e",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T17:49:27.224-0500"
"20","CESAR",27626,31320,"a11c7e7d10b268a8744cd668e918fee93466dd6c2229a059db122edaccb114ff",TRUE,FALSE,"386","FILTRADA","2020-02-18T17:44:44.763-0500"
"21","JESUS",27625,31319,"6008e2003f5ad6f7ef5336888fd5f03aeeb3c293d5398486ea17dbc8cc66fa70",TRUE,FALSE,"497","FILTRADA","2020-02-18T17:39:54.255-0500"
"22","CESAR",27624,31318,"1bfd1513cfe8bd3af68f5f12968609dbf31aa585975a482f92e7329a045cdf26",TRUE,FALSE,"386","FILTRADA","2020-02-18T17:38:14.263-0500"
"23","LUIS",27623,31317,"a73da22e8bec9e99f248ee1f6d8e0434766f4622c3fe92a2950dbcf5f583cf6f",TRUE,FALSE,"560","FILTRADA","2020-02-18T17:37:51.582-0500"
"24","DIEGO",27622,31316,"d7dc39cc9c9e1ded0099f532303a883c3b2debfe885c4cd6f552d789505b1940",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T17:34:54.150-0500"
"25","ELVIRA",27621,31315,"5bf2aaf81463778babc4fbcc1f81f82981a26629b8ccac98d59dd5297b61e48e",TRUE,FALSE,"578","FILTRADA","2020-02-18T17:34:14.853-0500"
"26","EDILBERTO",27620,31314,"fbef8fe40e3795882a38c5a46d96f024e950c6ff28a255f3b20e338de00641d0",TRUE,FALSE,"578","FILTRADA","2020-02-18T17:29:50.068-0500"
"27","HONORATO",27619,31313,"f2e26c0f5545f0b36c7ab168ac401ea81ea6e3609c5ad7a548d55a7376bc97f4",TRUE,FALSE,"497","RECHAZADA","2020-02-18T17:26:39.707-0500"
"28","GINA",27618,31312,"efe03cfcb900ca5ffb5de38e20cc8be8143eb8ef45b9c1afffde53a9a4e18b84",TRUE,FALSE,"497","FILTRADA","2020-02-18T17:22:15.362-0500"
"29","HONORATO",27617,31311,"335361eabd0d158d3e34a0492fed3dea83be83ed3cd3f4fc53dd3c064ca6ba3d",TRUE,FALSE,"497","RECHAZADA","2020-02-18T17:20:22.583-0500"
"30","GUSTAVO",27616,31310,"3a9ac3c18c9f4dbd8a6d000febd9b1c14515d5344da891da30c638caaa576d02",TRUE,FALSE,"386","RECHAZADA","2020-02-18T17:19:12.775-0500"
"31","ALFREDO",27615,31309,"08b1c10e913f8dcd2cef4584b3b2c0f4b2360c8d0f8ce27c5e2114eae8fb467d",TRUE,FALSE,"707","FILTRADA","2020-02-18T17:18:10.680-0500"
"32","ASHLEY",27614,31308,"40b82f8e418c9cd8b62c1856fa73acdd7230ed1ffdbb57e50a3a1df2f27ee444",TRUE,FALSE,"388","FILTRADA","2020-02-18T17:11:43.711-0500"
"33","GINA",27613,31307,"a9dc93db117ae1c8aa0c18b91ee845e94879beee8cd1d05d57b7c17295d44f74",TRUE,FALSE,"497","FILTRADA","2020-02-18T17:09:57.151-0500"
"34","ROVER",27612,31306,"89f1c9b883c2db2d231dd128b49ed7bff8c1d8c1c7e64999fb5492c4f34b91c7",TRUE,FALSE,"388","FILTRADA","2020-02-18T17:06:06.260-0500"
"35","HEIDY",27611,31305,"f582d44a5dd290523598814d498ae3c2dd51215d24fb0c0b2f793e5d758a3d64",TRUE,FALSE,"578","DESESTIMADA","2020-02-18T17:03:59.836-0500"
"36","JACINTA",27610,31304,"23795a0771f4a5121f4b785c01c19b71de163fa09b11557547534c205eb3f066",TRUE,FALSE,"560","FILTRADA","2020-02-18T17:03:35.896-0500"
"37","FREDDY",27609,31303,"514d0c7320767259b998d01a0e19af21abf01944f72140d8023a82bed7afb28f",TRUE,FALSE,"578","RECHAZADA","2020-02-18T17:00:30.436-0500"
"38","FREDDY",27608,31302,"6dc066978bb3858d171b1fa71bb0c54745224e22552f89a732c011a190766bbc",TRUE,FALSE,"578","INICIADA","2020-02-18T16:59:35.506-0500"
"39","RONNY",27607,31301,"5178f3e6a697f96ac0716ec2c3c7fed1377cc26590042056cd0cbec93225e0e6",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:58:14.515-0500"
"40","JORGE",27606,31300,"56d85b2da7b062ef5c53963f21f8fce3d8dbc0178460464130c37060a65660d6",TRUE,FALSE,"485","FILTRADA","2020-02-18T16:55:00.755-0500"
"41","RODOLFO",27605,31299,"586e1a4f57e31544bdc16c866b04ae486649824fdef19e3ec8a2fa3ffa914da0",TRUE,FALSE,"569","FILTRADA","2020-02-18T16:54:26.415-0500"
"42","JULIO",27604,31298,"33ea160427ab9b256d14f082700e964a20dad0e3538f4c5a009fcc1a190242cd",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:52:05.183-0500"
"43","ALEXANDER",27603,31297,"11cfcb230f67dd6e6d4bd363900fdb2dc6293f08c8441e03656287d4becbbcfa",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T16:51:55.938-0500"
"44","ALEXANDER",27602,31296,"6a4ebd3398d13618ac742b47ca1cadc290c648ae4a99b862a36d1214f89d2cf2",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:49:24.895-0500"
